"Job","PO","Name","Line","Description","Part Num","Supplier Qty","Promise Date","Due Date","UOM","Supplier UOM","Buyer ID","CommentText"
"",705782,"MSC Industrial Supply Co.",1,"Square End Mill: 1/8″ Dia, 7/8″ LOC, 3 Flute, Solid Carbide - 2-1/2″ OAL, 1/8″ Shank Dia, 30 deg Helix, Bright/Uncoated Finish, Single End, Series Miniature End Mills - Square - Long Flute","16004038",4.00,,1/13/2025 12:00:00 AM,"EA","EA","agarcia","Richard King"
"",706104,"Weco Manufacturing",1,"CONTAINER BODY","TS1540",10.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706104,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",30.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706104,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",30.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706104,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1565-01",10.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706104,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",20.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706104,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1570",10.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706104,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",30.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706104,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",30.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706104,"Weco Manufacturing",9,"TS1540 Container Body","Rework RMA 2658",2.00,,12/19/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706105,"Weco Manufacturing",1,"CONTAINER BODY","TS1540",10.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706105,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",30.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706105,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",30.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706105,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1565-01",10.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706105,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",20.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706105,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1570",10.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706105,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",30.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706105,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",30.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706106,"Weco Manufacturing",1,"CONTAINER BODY","TS1240",3.00,,7/15/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706106,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",9.00,,7/15/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706106,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",9.00,,7/15/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706106,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1260-01",3.00,,7/15/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706106,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",6.00,,7/15/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706106,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1270",3.00,,7/15/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706106,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",9.00,,7/15/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706106,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",9.00,,7/15/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706107,"Weco Manufacturing",1,"CONTAINER BODY","TS1240",3.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706107,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",9.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706107,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",9.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706107,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1260-01",3.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706107,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",6.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706107,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1270",3.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706107,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",9.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706107,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",9.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706108,"Weco Manufacturing",1,"CONTAINER BODY","TS1240",3.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706108,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",9.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706108,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",9.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706108,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1260-01",3.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706108,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",6.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706108,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1270",3.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706108,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",9.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706108,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",9.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706110,"Weco Manufacturing",1,"CONTAINER BODY","TS1240",3.00,,11/18/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706110,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",9.00,,11/18/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706110,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",9.00,,11/18/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706110,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1260-01",3.00,,11/18/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706110,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",6.00,,11/18/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706110,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1270",3.00,,11/18/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706110,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",9.00,,11/18/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706110,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",9.00,,11/18/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706111,"MSC Industrial Supply Co.",1,"Deburring Disc: 6"" Dia, 1/4"" Hole, Very Fine Grade, Aluminum Oxide
Arbor Mount, Maroon, 4000 Max RPM
MSC# 98319148 Mfr# 7010299329","98319148",30.00,,5/9/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706111,"MSC Industrial Supply Co.",2,"Cap Screw for Indexables: TP7 Torx Plus, M2.2 x 0.45 Thread
MSC# 78443645 Mfr# 7005380","78443645",10.00,,5/9/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706111,"MSC Industrial Supply Co.",3,"Indexable Drill Insert: SOMX060304DT IC808, Carbide
TiAlN Finish, 0.2441"" Inscribed Circle, 0.1260"" Thick, 0.0157"" Corner Radius, 90 deg Square
MSC# 87765814 Mfr# 5507880","87765814",10.00,,5/9/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706111,"MSC Industrial Supply Co.",4,"Screw Machine Length Drill Bit: 12.50 mm (0.4921) Dia, 140 deg, Solid Carbide
Multi-layer Finish, 4.2130"" OAL, Right Hand Cut, Regular Spiral Flute, Straight Shank, Series DC160-03-A1
MSC# 12244844 Mfr# 7378293","12244844",2.00,,5/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706111,"MSC Industrial Supply Co.",5,"Proto Dial Torque Wrench: 1/4"" Drive
10'' OAL
MSC# 85243558 Mfr# J6169F","Line item cancelled",1.00,,6/7/2025 12:00:00 AM,"EA","EA","agarcia","Backordered
Temporarily out of stock"
"",706111,"MSC Industrial Supply Co.",6,"Square End Mill: 5/32"" Dia, 9/16"" LOC, 3 Flute, Solid Carbide
2"" OAL, 3/16"" Shank Dia, 37 deg Helix, ZrN Coated, Single End
MSC# 65249732 Mfr# 319890","65249732",5.00,,5/9/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706111,"MSC Industrial Supply Co.",7,"Eyewear Cleaning Tissue: Silicone Free, Use with Safety Eyewear
Low Lint, 5"" Width, 8"" Length
MSC# 88117080 Mfr# 8566"," 88117080",4.00,,5/9/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706111,"MSC Industrial Supply Co.",8,"Square End Mill: 3/32"" Dia, 3/16"" LOC, 4 Flute, Solid Carbide
1-1/2"" OAL, 1/8"" Shank Dia, 30 deg Helix, Ti-NAMITE-A Finish, Double End, Series 14","05835111",4.00,,5/9/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706133,"Package Design & Supply Acquisition Inc.",1,"#33 rubber bands (3-1/2 X 1/8 Tan 600/box) CASE 3200 EA.","S-11489T",1.00,,5/20/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706133,"Package Design & Supply Acquisition Inc.",2,"Stretch Wrap - Blown, 60 gauge, 18"" x 1,500'  - 4 ROLLS/CASE","ST18-1848MXP - S-5294",2.00,,5/20/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706133,"Package Design & Supply Acquisition Inc.",3,"12X12 5.3 32 ECT B PART (2 units per)","CTN 12X12X6 32 ECT  - 9-CAV-LG",100.00,,5/20/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706133,"Package Design & Supply Acquisition Inc.",4,"3x3.5 Self Seal Bubble Pouch 1000/case","3x3.5 Self Seal Bubble Pouch",1.00,,5/20/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706186,"Weco Manufacturing",1,"CONTAINER BODY","TS1240",5.00,,5/12/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706186,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",15.00,,5/12/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706186,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",15.00,,5/12/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706186,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1260-01",5.00,,5/12/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706186,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",10.00,,5/12/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706186,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1270",5.00,,5/12/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706186,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",15.00,,5/12/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706186,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",15.00,,5/12/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706187,"Weco Manufacturing",1,"CONTAINER BODY","TS1240",3.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706187,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",9.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706187,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",9.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706187,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1260-01",3.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706187,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",6.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706187,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1270",3.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706187,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",9.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706187,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",9.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706188,"Weco Manufacturing",1,"CONTAINER BODY","TS1240",3.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706188,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",9.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706188,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",9.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706188,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1260-01",3.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706188,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",6.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706188,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1270",3.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706188,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",9.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706188,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",9.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706189,"Weco Manufacturing",1,"CONTAINER BODY","TS1240",3.00,,2/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706189,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",9.00,,2/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706189,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",9.00,,2/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706189,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1260-01",3.00,,2/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706189,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",6.00,,2/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706189,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1270",3.00,,2/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706189,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",9.00,,2/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706189,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",9.00,,2/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706190,"Weco Manufacturing",1,"CONTAINER BODY","TS1240",3.00,,3/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706190,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",9.00,,3/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706190,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",9.00,,3/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706190,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1260-01",3.00,,3/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706190,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",6.00,,3/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706190,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1270",3.00,,3/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706190,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",9.00,,3/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706190,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",9.00,,3/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706191,"Weco Manufacturing",1,"CONTAINER BODY","TS1240",3.00,,4/14/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706191,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",9.00,,4/14/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706191,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",9.00,,4/14/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706191,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1260-01",3.00,,4/14/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706191,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",6.00,,4/14/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706191,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1270",3.00,,4/14/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706191,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",9.00,,4/14/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706191,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",9.00,,4/14/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706195,"Weco Manufacturing",1,"CONTAINER BODY","TS1540",10.00,,10/14/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706195,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",30.00,,10/14/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706195,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",30.00,,10/14/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706195,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1565-01",10.00,,10/14/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706195,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",20.00,,10/14/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706195,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1570",10.00,,10/14/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706195,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",30.00,,10/14/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706195,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",30.00,,10/14/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706196,"Weco Manufacturing",1,"CONTAINER BODY","TS1540",10.00,,11/18/2025 12:00:00 AM,"EA","EA","agarcia",""
